TI,code,age,gender,edu,manage,conhour,contype,lmx,infshare,voice,paysatis,fair,proact,caropp
2,ALbeige,-14.3610729,-0.429848693,1.079779917,-0.237276479,-15.56189821,-0.804676754,0.925206327,-0.017881706,1.063101788,0.630215497,-0.24170392,0.661072902,0.040577717
3,ALbeige,-6.361072902,-0.429848693,1.079779917,-0.237276479,8.438101788,-0.804676754,0.675206327,1.482118294,0.563101788,-0.369784503,-0.11670392,0.061072902,1.040577717
1.333333333,ALbeige,5.638927098,0.570151307,2.079779917,-0.237276479,-1.561898212,0.195323246,1.008539661,1.482118294,1.813101788,0.963548831,1.13329608,1.061072902,1.707244383
1.333333333,ALbeige,4.638927098,-0.429848693,2.079779917,-0.237276479,8.438101788,0.195323246,0.091872994,-0.517881706,0.313101788,0.630215497,0.19579608,0.061072902,0.37391105
1,ALgeel,-1.361072902,-0.429848693,-0.920220083,-0.237276479,0.438101788,-0.804676754,0.675206327,1.482118294,0.563101788,0.630215497,0.75829608,0.461072902,0.707244383
2.333333333,ALgeel,-10.3610729,-0.429848693,1.079779917,-0.237276479,8.438101788,0.195323246,0.758539661,1.482118294,0.313101788,0.296882164,0.50829608,1.061072902,1.707244383
2.666666667,ALgeel,-11.3610729,0.570151307,1.079779917,-0.237276479,0.438101788,0.195323246,-0.658127006,1.482118294,-0.186898212,-0.703117836,-1.17920392,-0.138927098,0.040577717
1.333333333,ALgeel,-8.361072902,0.570151307,1.079779917,-0.237276479,0.438101788,0.195323246,-0.241460339,1.482118294,0.313101788,-0.703117836,-1.11670392,-0.138927098,-0.292755617
2,ALgeel,-14.3610729,0.570151307,1.079779917,0.762723521,4.438101788,-0.804676754,0.758539661,0.982118294,0.813101788,-0.036451169,0.13329608,-0.938927098,0.707244383
2,ALgeel,-7.361072902,0.570151307,1.079779917,-0.237276479,4.438101788,0.195323246,0.175206327,1.482118294,1.313101788,0.630215497,0.63329608,1.061072902,0.707244383
2.666666667,ALgeel,-8.361072902,-0.429848693,1.079779917,0.762723521,8.438101788,0.195323246,0.091872994,1.482118294,0.313101788,0.630215497,0.44579608,1.061072902,-0.959422283
2.333333333,ALgrijs,-12.3610729,-0.429848693,-0.920220083,-0.237276479,6.438101788,0.195323246,0.008539661,-2.017881706,-1.186898212,-0.036451169,-0.24170392,0.061072902,-0.62608895
2.333333333,ALgrijs,-5.361072902,-0.429848693,-0.920220083,0.762723521,6.438101788,0.195323246,-0.074793673,-2.517881706,-1.436898212,0.296882164,-0.30420392,0.661072902,0.040577717
2.333333333,ALgrijs,14.6389271,0.570151307,-1.920220083,-0.237276479,-18.56189821,0.195323246,-0.074793673,1.482118294,1.813101788,-0.369784503,0.38329608,-0.538927098,-0.292755617
2,ALgrijs,-15.3610729,0.570151307,0.079779917,-0.237276479,-26.56189821,-0.804676754,0.675206327,-0.517881706,-0.186898212,0.296882164,0.25829608,0.461072902,-0.959422283
1,ALgrijs,6.638927098,0.570151307,-0.920220083,0.762723521,8.438101788,0.195323246,0.675206327,-1.017881706,-0.186898212,0.630215497,0.50829608,-0.138927098,0.707244383
1.333333333,ALgrijs,1.638927098,-0.429848693,-0.920220083,-0.237276479,0.438101788,-0.804676754,1.175206327,1.482118294,1.063101788,0.630215497,0.57079608,1.061072902,0.37391105
2,ALgrijs,11.6389271,0.570151307,-1.920220083,-0.237276479,-11.56189821,0.195323246,-0.074793673,0.982118294,0.813101788,-0.369784503,-0.05420392,0.261072902,-0.62608895
1,ALgrijs,11.6389271,0.570151307,-0.920220083,-0.237276479,-11.56189821,0.195323246,0.508539661,0.982118294,-0.186898212,0.963548831,-0.05420392,-0.538927098,-1.62608895
1.333333333,ALgrijs,17.6389271,0.570151307,-0.920220083,-0.237276479,-31.56189821,0.195323246,-0.158127006,-0.517881706,-0.186898212,0.630215497,0.82079608,-0.138927098,-2.292755617
1.333333333,ALgroen,7.638927098,-0.429848693,0.079779917,-0.237276479,6.438101788,0.195323246,-0.158127006,0.482118294,-0.436898212,0.630215497,0.00829608,-0.138927098,-0.292755617
1,ALgroen,-8.361072902,-0.429848693,-0.920220083,-0.237276479,6.438101788,-0.804676754,0.925206327,1.482118294,-0.436898212,0.630215497,-0.05420392,-0.138927098,-0.292755617
2,ALgroen,22.6389271,-0.429848693,3.079779917,-0.237276479,6.438101788,0.195323246,0.091872994,-0.017881706,-0.436898212,-0.703117836,-0.42920392,0.261072902,0.040577717
4,ALindigo,-14.3610729,0.570151307,0.079779917,-0.237276479,-31.56189821,0.195323246,-0.074793673,-1.017881706,-0.686898212,0.630215497,-0.11670392,0.061072902,-1.292755617
3,ALindigo,-19.3610729,-0.429848693,-0.920220083,-0.237276479,-31.56189821,0.195323246,0.258539661,-0.517881706,-0.186898212,-0.036451169,0.13329608,0.061072902,-0.292755617
1.666666667,ALindigo,-18.3610729,-0.429848693,-1.920220083,-0.237276479,-17.56189821,-0.804676754,0.008539661,-0.517881706,0.063101788,1.630215497,0.13329608,-1.138927098,-0.292755617
2.666666667,ALindigo,-17.3610729,-0.429848693,-0.920220083,0.762723521,0.438101788,0.195323246,0.091872994,-0.517881706,-0.186898212,1.296882164,0.69579608,-0.338927098,0.707244383
2.333333333,ALindigo,-12.3610729,0.570151307,-0.920220083,0.762723521,6.438101788,0.195323246,0.341872994,1.482118294,1.063101788,0.963548831,0.50829608,0.661072902,0.37391105
2,ALindigo,-16.3610729,0.570151307,1.079779917,-0.237276479,-31.56189821,0.195323246,-0.074793673,0.482118294,0.563101788,0.630215497,-0.05420392,0.061072902,1.707244383
2,ALindigo,-17.3610729,0.570151307,1.079779917,-0.237276479,-31.56189821,-0.804676754,-0.074793673,0.482118294,0.563101788,0.630215497,0.19579608,0.061072902,-1.292755617
1.333333333,ALindigo,-20.3610729,-0.429848693,-1.920220083,0.762723521,6.438101788,-0.804676754,0.591872994,-0.017881706,0.063101788,1.630215497,0.57079608,-0.738927098,0.707244383
1.333333333,ALindigo,-19.3610729,0.570151307,-1.920220083,-0.237276479,-15.56189821,-0.804676754,0.091872994,0.482118294,-0.186898212,0.963548831,0.19579608,-0.938927098,-0.959422283
2,ALindigo,-15.3610729,-0.429848693,0.079779917,-0.237276479,-31.56189821,0.195323246,0.925206327,-2.017881706,-0.936898212,0.296882164,-0.17920392,-0.138927098,-2.292755617
3.333333333,ALkaki,-6.361072902,-0.429848693,-0.920220083,-0.237276479,6.438101788,0.195323246,0.008539661,-2.517881706,-1.186898212,-1.036451169,-0.42920392,-0.938927098,-0.292755617
1.666666667,ALkaki,0.638927098,-0.429848693,-0.920220083,0.762723521,6.438101788,0.195323246,-0.408127006,-0.517881706,0.063101788,-1.036451169,-0.11670392,0.061072902,-0.292755617
2.333333333,ALkaki,-14.3610729,-0.429848693,-0.920220083,-0.237276479,6.438101788,0.195323246,0.175206327,1.482118294,1.563101788,-0.036451169,0.13329608,-0.138927098,0.37391105
2,ALkaki,-19.3610729,-0.429848693,-1.920220083,-0.237276479,6.438101788,-0.804676754,-0.074793673,1.482118294,1.563101788,-0.036451169,-0.05420392,-0.938927098,0.707244383
4,ALkaki,-17.3610729,-0.429848693,-1.920220083,-0.237276479,4.438101788,0.195323246,-0.741460339,-0.017881706,0.063101788,-0.703117836,-0.61670392,-0.538927098,-1.292755617
1.333333333,ALkaki,-9.361072902,-0.429848693,-0.920220083,0.762723521,6.438101788,0.195323246,0.925206327,-0.017881706,0.313101788,-0.369784503,-0.05420392,0.461072902,-0.292755617
2.333333333,ALkaki,-2.361072902,-0.429848693,-0.920220083,0.762723521,6.438101788,0.195323246,0.175206327,-0.517881706,-0.186898212,-0.036451169,-0.11670392,0.061072902,0.040577717
2.666666667,ALkaki,-1.361072902,-0.429848693,-0.920220083,0.762723521,6.438101788,0.195323246,0.091872994,-0.517881706,-0.436898212,-0.036451169,0.07079608,0.061072902,-0.292755617
1.333333333,ALkaki,-19.3610729,-0.429848693,-1.920220083,-0.237276479,8.438101788,-0.804676754,-0.324793673,-1.017881706,-0.436898212,0.296882164,0.32079608,-1.338927098,0.707244383
2.666666667,ALkaki,-2.361072902,-0.429848693,-0.920220083,0.762723521,8.438101788,0.195323246,-0.574793673,-0.517881706,-0.186898212,-0.369784503,-0.49170392,-0.938927098,-0.292755617
3,ALkaki,-14.3610729,-0.429848693,-1.920220083,-0.237276479,6.438101788,0.195323246,-0.241460339,-0.017881706,-1.186898212,-0.369784503,-0.05420392,-0.338927098,-0.62608895
1.333333333,ALkaki,20.6389271,-0.429848693,-1.920220083,-0.237276479,-1.561898212,0.195323246,0.175206327,0.482118294,0.063101788,-0.703117836,0.07079608,1.061072902,0.37391105
1.333333333,ALkaki,3.638927098,-0.429848693,-0.920220083,0.762723521,6.438101788,0.195323246,-0.158127006,-1.517881706,-0.686898212,-0.703117836,-0.05420392,-0.138927098,-0.959422283
1.333333333,ALkaki,-20.3610729,-0.429848693,-1.920220083,-0.237276479,8.438101788,0.195323246,-0.158127006,-1.017881706,1.063101788,0.630215497,0.50829608,-0.538927098,0.707244383
1.666666667,ALkaki,-12.3610729,-0.429848693,-0.920220083,-0.237276479,6.438101788,0.195323246,0.841872994,0.482118294,0.813101788,-0.369784503,-0.36670392,-0.538927098,0.707244383
2,ALpaars,12.6389271,0.570151307,1.079779917,-0.237276479,-11.56189821,-0.804676754,0.341872994,-1.517881706,-0.436898212,0.630215497,0.25829608,0.061072902,-0.292755617
2.666666667,ALpaars,-17.3610729,-0.429848693,0.079779917,-0.237276479,-31.56189821,0.195323246,1.091872994,-0.017881706,0.813101788,0.296882164,0.88329608,0.061072902,0.040577717
2,ALpaars,-15.3610729,0.570151307,1.079779917,-0.237276479,-23.56189821,0.195323246,0.008539661,-1.517881706,-0.686898212,0.296882164,-0.05420392,-0.738927098,-1.959422283
2.333333333,ALpaars,8.638927098,0.570151307,-0.920220083,-0.237276479,-7.561898212,0.195323246,0.425206327,-1.017881706,-0.186898212,0.963548831,0.82079608,0.461072902,0.040577717
2,ALpaars,-10.3610729,0.570151307,-0.920220083,-0.237276479,0.438101788,0.195323246,0.591872994,-1.517881706,-0.186898212,0.963548831,0.57079608,0.061072902,-0.62608895
1.666666667,ALrood,-19.3610729,-0.429848693,-2.920220083,-0.237276479,-21.56189821,0.195323246,0.091872994,-0.017881706,0.813101788,1.296882164,1.07079608,0.261072902,0.040577717
1.333333333,ALrood,-21.3610729,0.570151307,-2.920220083,-0.237276479,-19.56189821,-0.804676754,0.258539661,-1.517881706,1.063101788,0.630215497,0.63329608,-0.738927098,0.37391105
1,ALrood,-5.361072902,0.570151307,-0.920220083,0.762723521,4.438101788,0.195323246,0.508539661,-0.017881706,0.063101788,0.630215497,-0.36670392,1.061072902,-0.292755617
1,ALrood,-20.3610729,-0.429848693,0.079779917,-0.237276479,-21.56189821,0.195323246,0.341872994,-0.017881706,0.063101788,1.630215497,1.63329608,-0.738927098,-0.62608895
1,ALrood,-21.3610729,0.570151307,0.079779917,-0.237276479,-27.56189821,-0.804676754,0.675206327,-0.517881706,0.563101788,1.630215497,0.50829608,-0.138927098,0.37391105
1,ALrood,-19.3610729,0.570151307,0.079779917,-0.237276479,-27.56189821,-0.804676754,0.675206327,-0.517881706,0.563101788,1.630215497,-0.05420392,-0.138927098,-0.292755617
1,ALrood,-20.3610729,-0.429848693,-2.920220083,-0.237276479,-21.56189821,0.195323246,0.258539661,-0.017881706,0.563101788,0.630215497,0.32079608,0.061072902,0.040577717
1.333333333,ALroze,-18.3610729,0.570151307,0.079779917,-0.237276479,-31.56189821,0.195323246,0.175206327,-1.517881706,0.063101788,-1.036451169,0.07079608,1.061072902,-0.62608895
2.333333333,ALroze,-17.3610729,0.570151307,1.079779917,-0.237276479,-31.56189821,0.195323246,0.591872994,-1.517881706,-0.936898212,0.630215497,0.38329608,0.061072902,-0.62608895
2,ALroze,-16.3610729,0.570151307,1.079779917,-0.237276479,-31.56189821,-0.804676754,-0.324793673,-2.017881706,-0.436898212,0.296882164,0.25829608,0.061072902,-1.62608895
1,ALroze,-14.3610729,0.570151307,-1.920220083,-0.237276479,-11.56189821,0.195323246,0.841872994,1.482118294,-0.936898212,0.296882164,1.07079608,-1.138927098,0.37391105
1,ALroze,-18.3610729,0.570151307,0.079779917,-0.237276479,-31.56189821,0.195323246,0.508539661,0.482118294,0.813101788,-0.036451169,0.07079608,0.261072902,-0.292755617
2,ALturquoise,-8.361072902,-0.429848693,1.079779917,0.762723521,8.438101788,0.195323246,-0.324793673,0.482118294,-0.186898212,-0.036451169,0.19579608,0.061072902,0.707244383
1.333333333,ALturquoise,-10.3610729,-0.429848693,1.079779917,-0.237276479,8.438101788,-0.804676754,0.008539661,0.482118294,0.063101788,-0.369784503,-0.17920392,-0.138927098,-0.62608895
2.333333333,ALturquoise,-6.361072902,-0.429848693,1.079779917,-0.237276479,8.438101788,0.195323246,-0.158127006,1.482118294,1.313101788,-2.036451169,-0.49170392,-0.338927098,-0.959422283
3,ALturquoise,-3.361072902,-0.429848693,1.079779917,-0.237276479,4.438101788,0.195323246,0.008539661,0.482118294,0.063101788,-1.369784503,-0.24170392,0.061072902,1.37391105
1,ALviolet,-7.361072902,0.570151307,-0.920220083,0.762723521,-15.56189821,-0.804676754,0.008539661,0.982118294,1.063101788,0.630215497,0.63329608,1.061072902,-0.292755617
1,ALviolet,4.638927098,-0.429848693,-0.920220083,0.762723521,8.438101788,0.195323246,0.758539661,-0.017881706,0.313101788,0.963548831,0.75829608,1.061072902,1.707244383
