Date,Total,Mon,Tue,Wed,Thu,Fri,Sat,Sun,holiday,daylight_hrs,PRCP,Temp (C),dry day,annual
10/3/2012,3521,0,0,1,0,0,0,0,0,11.27735924,0,13.35,1,0
10/4/2012,3475,0,0,0,1,0,0,0,0,11.21914159,0,13.6,1,0.002739726
10/5/2012,3148,0,0,0,0,1,0,0,0,11.16103751,0,15.3,1,0.005479452
10/6/2012,2006,0,0,0,0,0,1,0,0,11.10305648,0,15.85,1,0.008219178
10/7/2012,2142,0,0,0,0,0,0,1,0,11.0452082,0,15.85,1,0.010958904
10/8/2012,3537,1,0,0,0,0,0,0,1,10.98750259,0,14.45,1,0.01369863
10/9/2012,3501,0,1,0,0,0,0,0,0,10.9299498,0,12.5,1,0.016438356
10/10/2012,3235,0,0,1,0,0,0,0,0,10.87256024,0,10.25,1,0.019178082
10/11/2012,3047,0,0,0,1,0,0,0,0,10.81534455,0,10.55,1,0.021917808
10/12/2012,2011,0,0,0,0,1,0,0,0,10.75831368,0.078740157,11.4,0,0.024657534
10/13/2012,766,0,0,0,0,0,1,0,0,10.70147882,0.188976378,13.9,0,0.02739726
10/14/2012,698,0,0,0,0,0,0,1,0,10.6448515,0.649606299,15.55,0,0.030136986
10/15/2012,2273,1,0,0,0,0,0,0,0,10.58844352,0.311023622,14.15,0,0.032876712
10/16/2012,3036,0,1,0,0,0,0,0,0,10.53226702,0,12.2,1,0.035616438
10/17/2012,3243,0,0,1,0,0,0,0,0,10.47633446,0,10.25,1,0.038356164
10/18/2012,2923,0,0,0,1,0,0,0,0,10.42065864,0.818897638,12.25,0,0.04109589
10/19/2012,1977,0,0,0,0,1,0,0,0,10.3652527,0.188976378,12.2,0,0.043835616
10/20/2012,1068,0,0,0,0,0,1,0,0,10.31013014,0.019685039,8.6,0,0.046575342
10/21/2012,989,0,0,0,0,0,0,1,0,10.25530485,0.251968504,8.05,0,0.049315068
10/22/2012,2129,1,0,0,0,0,0,0,0,10.20079104,0.350393701,5.55,0,0.052054795
10/23/2012,2500,0,1,0,0,0,0,0,0,10.14660335,0,8.35,1,0.054794521
10/24/2012,2429,0,0,1,0,0,0,0,0,10.09275678,0.279527559,8.9,0,0.057534247
10/25/2012,2713,0,0,0,1,0,0,0,0,10.03926672,0,9.2,1,0.060273973
10/26/2012,2073,0,0,0,0,1,0,0,0,9.986148955,0.059055118,9.15,0,0.063013699
10/27/2012,531,0,0,0,0,0,1,0,0,9.933419678,0.909448819,11.9,0,0.065753425
10/28/2012,1062,0,0,0,0,0,0,1,0,9.881095472,0.24015748,12.2,0,0.068493151
10/29/2012,2217,1,0,0,0,0,0,0,0,9.829193325,0.429133858,12.8,0,0.071232877
